soiltype_mostprobable,x,y
0.0,97.9375,20.9375
23.0,-130.3125,53.6875
1.0,45.9375,59.4375
4.0,139.1875,-32.1875
7.0,123.5625,45.3125
14.0,168.3125,61.8125
6.0,-130.8125,61.3125
1.0,22.4375,52.3125
6.0,109.0625,49.8125
6.0,13.5625,41.3125
8.0,111.1875,63.3125
255.0,69.9375,59.8125
14.0,79.6875,64.9375
6.0,98.1875,18.8125
7.0,90.4375,54.6875
6.0,142.0625,46.6875
6.0,-155.0625,67.1875
6.0,-120.8125,50.5625
23.0,146.1875,59.3125
18.0,-79.3125,38.6875
11.0,112.8125,30.3125
18.0,143.5625,-36.3125
255.0,147.0625,-40.9375
23.0,16.9375,61.8125
255.0,-125.3125,66.9375
255.0,-148.6875,60.1875
18.0,104.0625,32.4375
8.0,115.1875,62.9375
23.0,-6.8125,52.3125
16.0,84.8125,28.0625
255.0,-153.0625,70.1875
18.0,62.5625,58.5625
6.0,93.3125,53.0625
6.0,-124.4375,52.3125
23.0,-68.6875,48.0625
255.0,40.5625,66.3125
5.0,-103.6875,35.1875
1.0,27.9375,56.4375
17.0,30.0625,-23.0625
255.0,-43.6875,60.1875
3.0,161.4375,56.4375
6.0,-143.3125,66.1875
6.0,-96.8125,57.4375
23.0,146.3125,59.4375
5.0,103.6875,36.6875
18.0,-88.5625,37.1875
6.0,-137.5625,63.9375
6.0,-120.0625,60.0625
18.0,-119.4375,59.5625
18.0,148.1875,-34.6875
8.0,-111.8125,69.0625
0.0,30.8125,-27.6875
6.0,-80.6875,48.4375
6.0,109.1875,35.4375
10.0,114.0625,-7.6875
18.0,-121.1875,58.3125
14.0,178.0625,64.9375
1.0,23.0625,52.3125
7.0,-110.5625,41.1875
6.0,-77.3125,40.6875
23.0,-86.4375,49.5625
6.0,-159.1875,63.9375
255.0,69.6875,71.0625
1.0,23.4375,51.0625
23.0,137.1875,60.4375
0.0,105.4375,16.4375
6.0,132.8125,49.8125
6.0,-81.9375,51.8125
6.0,122.4375,-31.4375
8.0,133.6875,65.3125
255.0,-106.3125,60.9375
23.0,-21.4375,64.9375
255.0,-150.9375,59.0625
8.0,80.9375,69.6875
6.0,-2.3125,50.6875
13.0,103.6875,38.6875
16.0,-97.6875,19.3125
