LandCover_5_Shrubs,x,y
0.0,94.37500755,16.04166795
0.0,93.95834085,7.70833395
16.0,139.37501115,-16.45833465
0.0,85.20834015,28.54166895
0.0,-105.62500845,24.37500195
21.0,105.62500845,16.87500135
0.0,2.29166684999998,51.04167075
0.0,148.54167855,-31.87500255
0.0,-2.29166685000001,35.62500285
19.0,101.87500815,18.12500145
14.0,149.37501195,-33.12500265
0.0,30.62500245,54.79167105
0.0,140.20834455,-8.12500065
10.0,132.29167725,-31.87500255
0.0,100.62500805,2.29166685
0.0,111.45834225,0.208333350000004
4.0,166.04167995,-21.45833505
0.0,146.04167835,-7.29166725
0.0,128.95834365,-6.87500055
57.0,-4.79166705,35.20833615
26.0,-117.70834275,33.54166935
0.0,116.87500935,1.87500014999999
0.0,99.37500795,7.70833395
0.0,123.54167655,12.70833435
0.0,127.29167685,-8.12500065
0.0,131.87501055,-4.79166705
0.0,97.29167445,19.37500155
0.0,106.45834185,10.20833415
17.0,151.45834545,-30.20833575
22.0,144.37501155,-33.95833605
0.0,133.54167735,35.20833615
0.0,-91.87500735,39.79166985
0.0,101.87500815,3.12500025
0.0,134.79167745,-6.45833385
35.0,-72.70833915,-49.79167065
0.0,172.29168045,-34.37500275
0.0,13.54166775,58.12500465
12.0,123.95834325,-33.12500265
0.0,121.87500975,23.12500185
22.0,98.54167455,17.29166805
0.0,-98.95834125,22.29166845
0.0,-73.12500585,-41.45833665
0.0,96.04167435,23.95833525
0.0,101.87500815,-2.70833355000001
0.0,147.70834515,-9.37500075
22.0,144.37501155,-33.54166935
0.0,98.95834125,11.87500095
0.0,145.62501165,-17.29166805
51.0,138.95834445,-30.62500245
0.0,129.37501035,28.12500225
0.0,98.95834125,16.04166795
0.0,123.54167655,-8.54166735
0.0,113.95834245,0.625000049999997
4.0,151.04167875,-31.45833585
62.0,-114.37500915,40.20833655
23.0,151.87501215,-30.62500245
0.0,123.95834325,-16.04166795
25.0,143.12501145,-31.87500255
22.0,-65.62500525,52.70833755
71.0,-110.20834215,33.12500265
0.0,89.79167385,22.29166845
0.0,105.20834175,16.87500135
37.0,98.95834125,14.79166785
0.0,147.29167845,-36.87500295
0.0,17.70833475,-33.12500265
20.0,13.54166775,64.37500515
0.0,35.62500285,35.62500285
0.0,108.12500865,48.95833725
46.0,-83.54167335,52.29167085
0.0,138.54167775,-8.12500065
27.0,141.87501135,-33.12500265
0.0,94.37500755,21.87500175
0.0,-100.62500805,33.95833605
0.0,135.62501085,-11.87500095
0.0,102.70834155,2.29166685
26.0,108.12500865,12.29166765
17.0,98.54167455,13.54166775
0.0,-88.54167375,35.62500285
0.0,116.45834265,-30.20833575
0.0,115.20834255,2.70833354999999
69.0,120.20834295,-30.20833575
0.0,98.95834125,-1.45833345
16.0,-97.29167445,17.29166805
0.0,-72.29167245,-50.20833735
66.0,-106.04167515,28.95833565
17.0,152.29167885,-27.70833555
0.0,120.62500965,-1.45833345
0.0,147.29167845,-36.45833625
0.0,-6.45833385,35.20833615
28.0,97.70834115,19.37500155
4.0,177.70834755,-38.95833645
0.0,97.70834115,3.54166694999999
0.0,-70.62500565,42.29167005
0.0,145.20834495,-17.29166805
0.0,8.54166734999998,55.62500445
33.0,-109.79167545,29.79166905
49.0,-6.45833385,37.70833635
0.0,108.54167535,23.95833525
6.0,97.70834115,26.87500215
13.0,103.95834165,21.04166835
29.0,140.62501125,-8.54166735
0.0,23.12500185,36.04166955
5.0,-71.87500575,-42.70833675
0.0,126.45834345,41.45833665
0.0,108.54167535,13.54166775
92.0,-111.04167555,38.12500305
51.0,135.62501085,-15.20833455
40.0,-105.62500845,37.29166965
0.0,116.04167595,2.29166685
1.0,142.70834475,-11.87500095
51.0,122.70834315,-30.20833575
0.0,151.04167875,-22.29166845
0.0,148.95834525,-37.29166965
68.0,-105.20834175,32.70833595
0.0,100.62500805,5.62500045
0.0,22.29166845,40.20833655
0.0,-90.62500725,36.87500295
0.0,137.70834435,-7.70833395
0.0,116.45834265,8.12500065
0.0,144.37501155,-41.04166995
0.0,103.12500825,-1.45833345
0.0,151.87501215,-31.87500255
